Candidate ID,File Name,Raw Text,Clean Text,Word Count,Extraction Status,Ground Truth Label,Years of Experience,Number of Required Skills
Candidate_11,Candidate_11.docx,"Candidate_11
Professional Profile
Junior software developer with approximately 3 years of experience. Familiar with Pandas, Python, Scikit-learn, SQL, Agile. Has worked on academic and small commercial software projects and is seeking to develop stronger software-engineering expertise.
Technical Skills
Pandas
Python
Scikit-learn
SQL
Agile
Git
AWS
Linux
JavaScript
FastAPI
Professional Experience
Junior Software Developer — Synthetic Technology Organisation
Approximate experience: 3 years
Assisted with application development using Pandas.
Completed software testing and debugging tasks.
Worked with senior developers on small software features.
Used version control for academic and junior projects.
Projects
Student Management System: Created a small application for storing and retrieving student information.
Data Analysis Project: Cleaned and analysed a structured dataset using programming libraries.
Education
BSc Information Technology
Additional Information
This is an anonymised synthetic CV created solely for academic prototype evaluation.",candidate 11 professional profile junior software developer with approximately 3 years of experience. familiar with pandas python scikit-learn sql agile. has worked on academic and small commercial software projects and is seeking to develop stronger software-engineering expertise. technical skills pandas python scikit-learn sql agile git aws linux javascript fastapi professional experience junior software developer synthetic technology organisation approximate experience 3 years assisted with application development using pandas. completed software testing and debugging tasks. worked with senior developers on small software features. used version control for academic and junior projects. projects student management system created a small application for storing and retrieving student information. data analysis project cleaned and analysed a structured dataset using programming libraries. education bsc information technology additional information this is an anonymised synthetic cv created solely for academic prototype evaluation.,133,Successful,Medium,3,7
Candidate_12,Candidate_12.docx,"Candidate_12
Professional Profile
Junior software developer with approximately 4 years of experience. Familiar with Machine Learning, Python, Git, Pandas, Object-Oriented Programming. Has worked on academic and small commercial software projects and is seeking to develop stronger software-engineering expertise.
Technical Skills
Machine Learning
Python
Git
Pandas
Object-Oriented Programming
SQL
FastAPI
CI/CD
TensorFlow
Professional Experience
Junior Software Developer — Synthetic Technology Organisation
Approximate experience: 4 years
Assisted with application development using Machine Learning.
Completed software testing and debugging tasks.
Worked with senior developers on small software features.
Used version control for academic and junior projects.
Projects
Student Management System: Created a small application for storing and retrieving student information.
Data Analysis Project: Cleaned and analysed a structured dataset using programming libraries.
Education
BSc Information Technology
Additional Information
This is an anonymised synthetic CV created solely for academic prototype evaluation.",candidate 12 professional profile junior software developer with approximately 4 years of experience. familiar with machine learning python git pandas object-oriented programming. has worked on academic and small commercial software projects and is seeking to develop stronger software-engineering expertise. technical skills machine learning python git pandas object-oriented programming sql fastapi ci/cd tensorflow professional experience junior software developer synthetic technology organisation approximate experience 4 years assisted with application development using machine learning. completed software testing and debugging tasks. worked with senior developers on small software features. used version control for academic and junior projects. projects student management system created a small application for storing and retrieving student information. data analysis project cleaned and analysed a structured dataset using programming libraries. education bsc information technology additional information this is an anonymised synthetic cv created solely for academic prototype evaluation.,137,Successful,Medium,4,6
Candidate_13,Candidate_13.docx,"Candidate_13
Professional Profile
Junior software developer with approximately 2 years of experience. Familiar with Object-Oriented Programming, Docker, Agile, Pandas, NumPy. Has worked on academic and small commercial software projects and is seeking to develop stronger software-engineering expertise.
Technical Skills
Object-Oriented Programming
Docker
Agile
Pandas
NumPy
Python
Linux
MySQL
Java
Professional Experience
Junior Software Developer — Synthetic Technology Organisation
Approximate experience: 2 years
Assisted with application development using Object-Oriented Programming.
Completed software testing and debugging tasks.
Worked with senior developers on small software features.
Used version control for academic and junior projects.
Projects
Student Management System: Created a small application for storing and retrieving student information.
Data Analysis Project: Cleaned and analysed a structured dataset using programming libraries.
Education
BSc Information Technology
Additional Information
This is an anonymised synthetic CV created solely for academic prototype evaluation.",candidate 13 professional profile junior software developer with approximately 2 years of experience. familiar with object-oriented programming docker agile pandas numpy. has worked on academic and small commercial software projects and is seeking to develop stronger software-engineering expertise. technical skills object-oriented programming docker agile pandas numpy python linux mysql java professional experience junior software developer synthetic technology organisation approximate experience 2 years assisted with application development using object-oriented programming. completed software testing and debugging tasks. worked with senior developers on small software features. used version control for academic and junior projects. projects student management system created a small application for storing and retrieving student information. data analysis project cleaned and analysed a structured dataset using programming libraries. education bsc information technology additional information this is an anonymised synthetic cv created solely for academic prototype evaluation.,135,Successful,Medium,2,6
Candidate_14,Candidate_14.docx,"Candidate_14
Professional Profile
Junior software developer with approximately 2 years of experience. Familiar with Agile, Git, REST APIs, Python, Scikit-learn. Has worked on academic and small commercial software projects and is seeking to develop stronger software-engineering expertise.
Technical Skills
Agile
Git
REST APIs
Python
Scikit-learn
SQL
NumPy
MySQL
JavaScript
TensorFlow
Professional Experience
Junior Software Developer — Synthetic Technology Organisation
Approximate experience: 2 years
Assisted with application development using Agile.
Completed software testing and debugging tasks.
Worked with senior developers on small software features.
Used version control for academic and junior projects.
Projects
Student Management System: Created a small application for storing and retrieving student information.
Data Analysis Project: Cleaned and analysed a structured dataset using programming libraries.
Education
BSc Information Technology
Additional Information
This is an anonymised synthetic CV created solely for academic prototype evaluation.",candidate 14 professional profile junior software developer with approximately 2 years of experience. familiar with agile git rest apis python scikit-learn. has worked on academic and small commercial software projects and is seeking to develop stronger software-engineering expertise. technical skills agile git rest apis python scikit-learn sql numpy mysql javascript tensorflow professional experience junior software developer synthetic technology organisation approximate experience 2 years assisted with application development using agile. completed software testing and debugging tasks. worked with senior developers on small software features. used version control for academic and junior projects. projects student management system created a small application for storing and retrieving student information. data analysis project cleaned and analysed a structured dataset using programming libraries. education bsc information technology additional information this is an anonymised synthetic cv created solely for academic prototype evaluation.,135,Successful,Medium,2,7
Candidate_15,Candidate_15.docx,"Candidate_15
Professional Profile
Entry-level applicant with 2 years of general technology experience. Has limited exposure to Scikit-learn, Machine Learning, Flask, FastAPI, TensorFlow. Most previous experience has focused on administrative support, customer service and basic computer operations.
Technical Skills
Scikit-learn
Machine Learning
Flask
FastAPI
TensorFlow
Professional Experience
IT Support Assistant — Synthetic Technology Organisation
Approximate experience: 2 years
Provided general computer and administrative support.
Installed software and helped users resolve basic technical issues.
Maintained records and responded to customer queries.
Completed introductory online programming courses.
Projects
Personal Website: Created a basic informational website as part of an introductory technology course.
Education
Bachelor of Business Administration
Additional Information
This is an anonymised synthetic CV created solely for academic prototype evaluation.",candidate 15 professional profile entry-level applicant with 2 years of general technology experience. has limited exposure to scikit-learn machine learning flask fastapi tensorflow. most previous experience has focused on administrative support customer service and basic computer operations. technical skills scikit-learn machine learning flask fastapi tensorflow professional experience it support assistant synthetic technology organisation approximate experience 2 years provided general computer and administrative support. installed software and helped users resolve basic technical issues. maintained records and responded to customer queries. completed introductory online programming courses. projects personal website created a basic informational website as part of an introductory technology course. education bachelor of business administration additional information this is an anonymised synthetic cv created solely for academic prototype evaluation.,118,Successful,Low,2,2
Candidate_16,Candidate_16.docx,"Candidate_16
Professional Profile
Entry-level applicant with 1 years of general technology experience. Has limited exposure to REST APIs, Pandas, Agile, Git, CI/CD. Most previous experience has focused on administrative support, customer service and basic computer operations.
Technical Skills
REST APIs
Pandas
Agile
Git
CI/CD
Power BI
Professional Experience
IT Support Assistant — Synthetic Technology Organisation
Approximate experience: 1 years
Provided general computer and administrative support.
Installed software and helped users resolve basic technical issues.
Maintained records and responded to customer queries.
Completed introductory online programming courses.
Projects
Personal Website: Created a basic informational website as part of an introductory technology course.
Education
Bachelor of Business Administration
Additional Information
This is an anonymised synthetic CV created solely for academic prototype evaluation.",candidate 16 professional profile entry-level applicant with 1 years of general technology experience. has limited exposure to rest apis pandas agile git ci/cd. most previous experience has focused on administrative support customer service and basic computer operations. technical skills rest apis pandas agile git ci/cd power bi professional experience it support assistant synthetic technology organisation approximate experience 1 years provided general computer and administrative support. installed software and helped users resolve basic technical issues. maintained records and responded to customer queries. completed introductory online programming courses. projects personal website created a basic informational website as part of an introductory technology course. education bachelor of business administration additional information this is an anonymised synthetic cv created solely for academic prototype evaluation.,120,Successful,Low,1,4
Candidate_17,Candidate_17.docx,"Candidate_17
Professional Profile
Entry-level applicant with 1 years of general technology experience. Has limited exposure to Pandas, Machine Learning, SQL, REST APIs, JavaScript. Most previous experience has focused on administrative support, customer service and basic computer operations.
Technical Skills
Pandas
Machine Learning
SQL
REST APIs
JavaScript
Professional Experience
IT Support Assistant — Synthetic Technology Organisation
Approximate experience: 1 years
Provided general computer and administrative support.
Installed software and helped users resolve basic technical issues.
Maintained records and responded to customer queries.
Completed introductory online programming courses.
Projects
Personal Website: Created a basic informational website as part of an introductory technology course.
Education
Bachelor of Business Administration
Additional Information
This is an anonymised synthetic CV created solely for academic prototype evaluation.",candidate 17 professional profile entry-level applicant with 1 years of general technology experience. has limited exposure to pandas machine learning sql rest apis javascript. most previous experience has focused on administrative support customer service and basic computer operations. technical skills pandas machine learning sql rest apis javascript professional experience it support assistant synthetic technology organisation approximate experience 1 years provided general computer and administrative support. installed software and helped users resolve basic technical issues. maintained records and responded to customer queries. completed introductory online programming courses. projects personal website created a basic informational website as part of an introductory technology course. education bachelor of business administration additional information this is an anonymised synthetic cv created solely for academic prototype evaluation.,120,Successful,Low,1,4
Candidate_18,Candidate_18.docx,"Candidate_18
Professional Profile
Entry-level applicant with 0 years of general technology experience. Has limited exposure to NumPy, Django, Kubernetes, Power BI. Most previous experience has focused on administrative support, customer service and basic computer operations.
Technical Skills
NumPy
Django
Kubernetes
Power BI
Professional Experience
IT Support Assistant — Synthetic Technology Organisation
Approximate experience: 0 years
Provided general computer and administrative support.
Installed software and helped users resolve basic technical issues.
Maintained records and responded to customer queries.
Completed introductory online programming courses.
Projects
Personal Website: Created a basic informational website as part of an introductory technology course.
Education
Bachelor of Business Administration
Additional Information
This is an anonymised synthetic CV created solely for academic prototype evaluation.",candidate 18 professional profile entry-level applicant with 0 years of general technology experience. has limited exposure to numpy django kubernetes power bi. most previous experience has focused on administrative support customer service and basic computer operations. technical skills numpy django kubernetes power bi professional experience it support assistant synthetic technology organisation approximate experience 0 years provided general computer and administrative support. installed software and helped users resolve basic technical issues. maintained records and responded to customer queries. completed introductory online programming courses. projects personal website created a basic informational website as part of an introductory technology course. education bachelor of business administration additional information this is an anonymised synthetic cv created solely for academic prototype evaluation.,116,Successful,Low,0,1
Candidate_19,Candidate_19.docx,"Candidate_19
Professional Profile
Entry-level applicant with 0 years of general technology experience. Has limited exposure to Software Testing, Java, Django, JavaScript. Most previous experience has focused on administrative support, customer service and basic computer operations.
Technical Skills
Software Testing
Java
Django
JavaScript
Professional Experience
IT Support Assistant — Synthetic Technology Organisation
Approximate experience: 0 years
Provided general computer and administrative support.
Installed software and helped users resolve basic technical issues.
Maintained records and responded to customer queries.
Completed introductory online programming courses.
Projects
Personal Website: Created a basic informational website as part of an introductory technology course.
Education
Bachelor of Business Administration
Additional Information
This is an anonymised synthetic CV created solely for academic prototype evaluation.",candidate 19 professional profile entry-level applicant with 0 years of general technology experience. has limited exposure to software testing java django javascript. most previous experience has focused on administrative support customer service and basic computer operations. technical skills software testing java django javascript professional experience it support assistant synthetic technology organisation approximate experience 0 years provided general computer and administrative support. installed software and helped users resolve basic technical issues. maintained records and responded to customer queries. completed introductory online programming courses. projects personal website created a basic informational website as part of an introductory technology course. education bachelor of business administration additional information this is an anonymised synthetic cv created solely for academic prototype evaluation.,116,Successful,Low,0,1
Candidate_20,Candidate_20.docx,"Candidate_20
Professional Profile
Entry-level applicant with 0 years of general technology experience. Has limited exposure to SQL, Pandas, REST APIs, CI/CD, MySQL. Most previous experience has focused on administrative support, customer service and basic computer operations.
Technical Skills
SQL
Pandas
REST APIs
CI/CD
MySQL
Professional Experience
IT Support Assistant — Synthetic Technology Organisation
Approximate experience: 0 years
Provided general computer and administrative support.
Installed software and helped users resolve basic technical issues.
Maintained records and responded to customer queries.
Completed introductory online programming courses.
Projects
Personal Website: Created a basic informational website as part of an introductory technology course.
Education
Bachelor of Business Administration
Additional Information
This is an anonymised synthetic CV created solely for academic prototype evaluation.",candidate 20 professional profile entry-level applicant with 0 years of general technology experience. has limited exposure to sql pandas rest apis ci/cd mysql. most previous experience has focused on administrative support customer service and basic computer operations. technical skills sql pandas rest apis ci/cd mysql professional experience it support assistant synthetic technology organisation approximate experience 0 years provided general computer and administrative support. installed software and helped users resolve basic technical issues. maintained records and responded to customer queries. completed introductory online programming courses. projects personal website created a basic informational website as part of an introductory technology course. education bachelor of business administration additional information this is an anonymised synthetic cv created solely for academic prototype evaluation.,118,Successful,Low,0,3
