Final Rank,Candidate ID,Ground Truth Label,Years of Experience,Semantic Score (%),Skill Score (%),Final Score (%),Predicted Suitability,Matched Skills,Missing Skills,Recommendation,Explanation,Prediction Correct
11,Candidate_09,Medium,4,71.40815,69.23,70.75,High,"Python, SQL, Object-Oriented Programming, REST APIs, Git, AWS, Machine Learning, Pandas, Software Testing","Docker, NumPy, Scikit-learn, Agile",Strong candidate for initial recruiter review.,"The candidate received a semantic similarity score of 71.41% and a structured skill match score of 69.23%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: Python, SQL, Object-Oriented Programming, REST APIs, Git, AWS, Machine Learning, Pandas, Software Testing. Missing skills: Docker, NumPy, Scikit-learn, Agile. Predicted suitability: High. Strong candidate for initial recruiter review.",False
12,Candidate_11,Medium,3,73.148315,61.54,69.67,Medium,"Python, SQL, Git, AWS, Pandas, Scikit-learn, Software Testing, Agile","Object-Oriented Programming, REST APIs, Docker, Machine Learning, NumPy","Potential candidate, but missing requirements should be reviewed by a recruiter.","The candidate received a semantic similarity score of 73.15% and a structured skill match score of 61.54%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: Python, SQL, Git, AWS, Pandas, Scikit-learn, Software Testing, Agile. Missing skills: Object-Oriented Programming, REST APIs, Docker, Machine Learning, NumPy. Predicted suitability: Medium. Potential candidate, but missing requirements should be reviewed by a recruiter.",True
13,Candidate_12,Medium,4,71.68435,53.85,66.33,Medium,"Python, SQL, Object-Oriented Programming, Git, Machine Learning, Pandas, Software Testing","REST APIs, Docker, AWS, NumPy, Scikit-learn, Agile","Potential candidate, but missing requirements should be reviewed by a recruiter.","The candidate received a semantic similarity score of 71.68% and a structured skill match score of 53.85%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: Python, SQL, Object-Oriented Programming, Git, Machine Learning, Pandas, Software Testing. Missing skills: REST APIs, Docker, AWS, NumPy, Scikit-learn, Agile. Predicted suitability: Medium. Potential candidate, but missing requirements should be reviewed by a recruiter.",True
14,Candidate_10,Medium,4,69.86875,53.85,65.06,Medium,"SQL, Git, AWS, NumPy, Scikit-learn, Software Testing, Agile","Python, Object-Oriented Programming, REST APIs, Docker, Machine Learning, Pandas","Potential candidate, but missing requirements should be reviewed by a recruiter.","The candidate received a semantic similarity score of 69.87% and a structured skill match score of 53.85%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: SQL, Git, AWS, NumPy, Scikit-learn, Software Testing, Agile. Missing skills: Python, Object-Oriented Programming, REST APIs, Docker, Machine Learning, Pandas. Predicted suitability: Medium. Potential candidate, but missing requirements should be reviewed by a recruiter.",True
15,Candidate_16,Low,1,57.655537,30.77,49.59,Low,"REST APIs, Git, Pandas, Agile","Python, SQL, Object-Oriented Programming, Docker, AWS, Machine Learning, NumPy, Scikit-learn, Software Testing",Limited match for this role based on the current job description.,"The candidate received a semantic similarity score of 57.66% and a structured skill match score of 30.77%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: REST APIs, Git, Pandas, Agile. Missing skills: Python, SQL, Object-Oriented Programming, Docker, AWS, Machine Learning, NumPy, Scikit-learn, Software Testing. Predicted suitability: Low. Limited match for this role based on the current job description.",True
16,Candidate_17,Low,1,51.075848,30.77,44.98,Low,"SQL, REST APIs, Machine Learning, Pandas","Python, Object-Oriented Programming, Git, Docker, AWS, NumPy, Scikit-learn, Software Testing, Agile",Limited match for this role based on the current job description.,"The candidate received a semantic similarity score of 51.08% and a structured skill match score of 30.77%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: SQL, REST APIs, Machine Learning, Pandas. Missing skills: Python, Object-Oriented Programming, Git, Docker, AWS, NumPy, Scikit-learn, Software Testing, Agile. Predicted suitability: Low. Limited match for this role based on the current job description.",True
17,Candidate_20,Low,0,51.87148,23.08,43.23,Low,"SQL, REST APIs, Pandas","Python, Object-Oriented Programming, Git, Docker, AWS, Machine Learning, NumPy, Scikit-learn, Software Testing, Agile",Limited match for this role based on the current job description.,"The candidate received a semantic similarity score of 51.87% and a structured skill match score of 23.08%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: SQL, REST APIs, Pandas. Missing skills: Python, Object-Oriented Programming, Git, Docker, AWS, Machine Learning, NumPy, Scikit-learn, Software Testing, Agile. Predicted suitability: Low. Limited match for this role based on the current job description.",True
18,Candidate_19,Low,0,46.78122,7.69,35.05,Low,Software Testing,"Python, SQL, Object-Oriented Programming, REST APIs, Git, Docker, AWS, Machine Learning, Pandas, NumPy, Scikit-learn, Agile",Limited match for this role based on the current job description.,"The candidate received a semantic similarity score of 46.78% and a structured skill match score of 7.69%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: Software Testing. Missing skills: Python, SQL, Object-Oriented Programming, REST APIs, Git, Docker, AWS, Machine Learning, Pandas, NumPy, Scikit-learn, Agile. Predicted suitability: Low. Limited match for this role based on the current job description.",True
19,Candidate_15,Low,2,42.625446,15.38,34.45,Low,"Machine Learning, Scikit-learn","Python, SQL, Object-Oriented Programming, REST APIs, Git, Docker, AWS, Pandas, NumPy, Software Testing, Agile",Limited match for this role based on the current job description.,"The candidate received a semantic similarity score of 42.63% and a structured skill match score of 15.38%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: Machine Learning, Scikit-learn. Missing skills: Python, SQL, Object-Oriented Programming, REST APIs, Git, Docker, AWS, Pandas, NumPy, Software Testing, Agile. Predicted suitability: Low. Limited match for this role based on the current job description.",True
20,Candidate_18,Low,0,44.62879,7.69,33.55,Low,NumPy,"Python, SQL, Object-Oriented Programming, REST APIs, Git, Docker, AWS, Machine Learning, Pandas, Scikit-learn, Software Testing, Agile",Limited match for this role based on the current job description.,"The candidate received a semantic similarity score of 44.63% and a structured skill match score of 7.69%. The final score was calculated using 70% semantic similarity and 30% skill matching. Matched skills: NumPy. Missing skills: Python, SQL, Object-Oriented Programming, REST APIs, Git, Docker, AWS, Machine Learning, Pandas, Scikit-learn, Software Testing, Agile. Predicted suitability: Low. Limited match for this role based on the current job description.",True
